,,,,,,,,,,,cJava
89249e18547cf0bb6bd65496a7ad4b8de14004e5,java,c/c++,,,,,,,TRUE,TRUE,TRUE
ef47f61f72cb4139f5f04128dabc933fe820ccdf,java,groovy,,,,,,,FALSE,TRUE,FALSE
e5002c14288b007a64547fba6747f1eb72ca7c3e,groovy,java,,,,,,,FALSE,TRUE,FALSE
0aeb807ffe6e4e19c51736234e1cf034d07db586,java,groovy,,,,,,,FALSE,TRUE,FALSE
891ffa175d91d0326705d010e0622dfb3a721e21,c,java,,,,,,,TRUE,TRUE,TRUE
f0bbc1b7536a9cb61e86b8cc46324f102910b02f,groovy,java,,,,,,,FALSE,TRUE,FALSE
d4546223fc226e2e258b96932cb01ebbca85b107,groovy,java,,,,,,,FALSE,TRUE,FALSE
ee8e42f921d6ff69852477669ac4f1b657cbccb6,groovy,c,java,,,,,,TRUE,TRUE,TRUE
f18fb0b287817e9b83613d9958fda83c16e89b14,java,html,,,,,,,FALSE,TRUE,FALSE
ed77d40c63f88f654873b95309ddbc684a91a598,java,c++,,,,,,,TRUE,TRUE,TRUE
10f675b23b6ac1b822604eff33c21640c0bf98a2,java,python,,,,,,,FALSE,TRUE,FALSE
74eccc7c8f312a9c2f2ee1b624d2aff0e075f4cd,java,python,,,,,,,FALSE,TRUE,FALSE
66935d6a4c2ee4d1a46145803965fc79194b756c,java,html,,,,,,,FALSE,TRUE,FALSE
38c9b143501518e5e1a087272cd745d1c3a16ce3,html,java,,,,,,,FALSE,TRUE,FALSE
752ef87720a928dbfde603b3850efec2d7c45537,html,java,,,,,,,FALSE,TRUE,FALSE
55ea5239cb31d41e19cd8a96a6d2034fd6e84eb7,html,java,,,,,,,FALSE,TRUE,FALSE
030edabc8059400209a335b45402ccdc96957361,html,java,,,,,,,FALSE,TRUE,FALSE
0e6e586c057e4ba6fe477cf6dd584127a92f72f5,html,java,,,,,,,FALSE,TRUE,FALSE
0e49c439b7202fd587eb9c148d642b581d9cff08,java,html,,,,,,,FALSE,TRUE,FALSE
96e20aad8d5177853cdaa863c918aebb7e86a270,java,html,,,,,,,FALSE,TRUE,FALSE
a6300ba55ba1a129d285c41495ad085f6d1bbcb8,java,html,,,,,,,FALSE,TRUE,FALSE
5bfd3bd68cb98fa5c8cb285e900b5e3ab150a2e7,java,c++,,,,,,,TRUE,TRUE,TRUE
a5d2fe07bcf2ee37fc0f72ca12c2bc4c0d606654,java,c++,,,,,,,TRUE,TRUE,TRUE
dd5365891fd7145ba400236417963fab90c08e81,java,c/c++,,,,,,,TRUE,TRUE,TRUE
3829bcf2c730df0b21100399e46724f1abf67b52,java,c++,,,,,,,TRUE,TRUE,TRUE
3c45cc6e97364a646fe4daca5feb9638e600d9b4,java,c++,,,,,,,TRUE,TRUE,TRUE
768a2b9783b562d5fa2b69741361bfa0cc968765,java,c++,,,,,,,TRUE,TRUE,TRUE
1b623df1ab93e95f097f107f36676e604fc09c8f,html,java,,,,,,,FALSE,TRUE,FALSE
663a3ba7d5d38b51cb2236b39e29f2b754dd18f8,html,java,,,,,,,FALSE,TRUE,FALSE
7508d6c9bcf8d38b9468de4e8ac603747b55606c,html,java,,,,,,,FALSE,TRUE,FALSE
8348011344a1c5f219c5a366d9a0d0ef44c902ea,html,java,,,,,,,FALSE,TRUE,FALSE
3ba00cce25f257575feb86455c5d39ecea3d7945,java,html,,,,,,,FALSE,TRUE,FALSE
