From File,To File,References,From Entities,To Entities
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/record-batch.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/schema.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/table-builder.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/table.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/tensor.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/type.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/writable-file.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/writable.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/writer.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/array-builder.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/array.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/chunked-array.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/codec.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/data-type.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/error.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/field.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/file-mode.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/file.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/input-stream.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/ipc-options.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/metadata-version.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/output-stream.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/readable.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/reader.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/record-batch.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/schema.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/table-builder.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/table.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/tensor.hpp,1,1,1
