From File,To File
Win32WindowDemo.java,IntegerType.java
Win32WindowDemo.java,Pointer.java
Win32WindowDemo.java,PointerType.java
Win32WindowDemo.java,Structure.java
TestService.java,Win32Service.java
Win32Service.java,Advapi32.java
Win32Service.java,WinError.java
Win32Service.java,WinNT.java
Win32Service.java,Winsvc.java
Win32Service.java,Pointer.java
Win32Service.java,Structure.java
DesktopWindow.java,WinDef.java
DragHandler.java,GhostedDragImage.java
DragHandler.java,Platform.java
DropHandler.java,DragHandler.java
DropHandler.java,DropTargetPainter.java
GhostedDragImage.java,WindowUtils.java
EnumConverter.java,FromNativeContext.java
EnumConverter.java,ToNativeContext.java
EnumConverter.java,TypeConverter.java
EnumUtils.java,FlagEnum.java
FileMonitor.java,W32FileMonitor.java
FileUtils.java,MacFileUtils.java
FileUtils.java,W32FileUtils.java
KeyboardUtils.java,X11.java
KeyboardUtils.java,User32.java
KeyboardUtils.java,WinUser.java
KeyboardUtils.java,IntegerType.java
KeyboardUtils.java,Platform.java
LibC.java,LibCAPI.java
LibC.java,Library.java
LibC.java,Native.java
LibC.java,NativeLong.java
LibC.java,Structure.java
Udev.java,Library.java
Udev.java,Native.java
Udev.java,PointerType.java
XAttr.java,IntegerType.java
XAttr.java,Library.java
XAttr.java,Native.java
XAttr.java,Pointer.java
XAttrUtil.java,XAttr.java
XAttrUtil.java,dispatch.c
XAttrUtil.java,IntegerType.java
XAttrUtil.java,Memory.java
XAttrUtil.java,Native.java
Carbon.java,Callback.java
Carbon.java,Library.java
Carbon.java,Native.java
Carbon.java,Pointer.java
Carbon.java,PointerByReference.java
Carbon.java,Structure.java
CoreFoundation.java,IntegerType.java
CoreFoundation.java,Library.java
CoreFoundation.java,Memory.java
CoreFoundation.java,Native.java
CoreFoundation.java,NativeLong.java
CoreFoundation.java,Pointer.java
CoreFoundation.java,PointerType.java
CoreFoundation.java,ByReference.java
CoreFoundation.java,ByteByReference.java
CoreFoundation.java,DoubleByReference.java
CoreFoundation.java,FloatByReference.java
CoreFoundation.java,IntByReference.java
CoreFoundation.java,LongByReference.java
CoreFoundation.java,PointerByReference.java
CoreFoundation.java,ShortByReference.java
DiskArbitration.java,CoreFoundation.java
DiskArbitration.java,IOKit.java
DiskArbitration.java,Library.java
DiskArbitration.java,Native.java
IOKit.java,CoreFoundation.java
IOKit.java,IOReturnException.java
IOKit.java,Library.java
IOKit.java,Memory.java
IOKit.java,Native.java
IOKit.java,Pointer.java
IOKit.java,PointerType.java
IOKit.java,IntByReference.java
IOKit.java,LongByReference.java
IOKit.java,PointerByReference.java
IOKitUtil.java,CoreFoundation.java
IOKitUtil.java,IOKit.java
IOKitUtil.java,SystemB.java
IOKitUtil.java,IntByReference.java
IOKitUtil.java,PointerByReference.java
MacFileUtils.java,FileUtils.java
MacFileUtils.java,Library.java
MacFileUtils.java,Native.java
MacFileUtils.java,ByteByReference.java
MacFileUtils.java,PointerByReference.java
MacFileUtils.java,Structure.java
SystemB.java,LibCAPI.java
SystemB.java,Library.java
SystemB.java,Native.java
SystemB.java,NativeLong.java
SystemB.java,Pointer.java
SystemB.java,IntByReference.java
SystemB.java,LongByReference.java
SystemB.java,PointerByReference.java
SystemB.java,Structure.java
XAttr.java,Library.java
XAttr.java,Native.java
XAttr.java,Pointer.java
XAttrUtil.java,XAttr.java
XAttrUtil.java,Memory.java
XAttrUtil.java,Native.java
XAttrUtil.java,Pointer.java
LibC.java,LibCAPI.java
LibC.java,Library.java
LibC.java,Native.java
LibCAPI.java,Reboot.java
LibCAPI.java,Resource.java
Resource.java,Structure.java
LibKstat.java,Library.java
LibKstat.java,Native.java
LibKstat.java,Pointer.java
LibKstat.java,Structure.java
LibKstat.java,Union.java
X11.java,Callback.java
X11.java,FromNativeContext.java
X11.java,IntegerType.java
X11.java,Library.java
X11.java,Native.java
X11.java,NativeLong.java
X11.java,Pointer.java
X11.java,PointerType.java
X11.java,ByReference.java
X11.java,IntByReference.java
X11.java,NativeLongByReference.java
X11.java,PointerByReference.java
X11.java,Structure.java
X11.java,Union.java
AccCtrl.java,StdCallLibrary.java
Advapi32.java,WinBase.java
Advapi32.java,WinDef.java
Advapi32.java,WinNT.java
Advapi32.java,WinReg.java
Advapi32.java,Winsvc.java
Advapi32.java,Library.java
Advapi32.java,Native.java
Advapi32.java,Pointer.java
Advapi32.java,IntByReference.java
Advapi32.java,LongByReference.java
Advapi32.java,PointerByReference.java
Advapi32.java,ShortByReference.java
Advapi32.java,Structure.java
Advapi32.java,StdCallLibrary.java
Advapi32.java,W32APIOptions.java
Advapi32Util.java,AccCtrl.java
Advapi32Util.java,Advapi32.java
Advapi32Util.java,Kernel32.java
Advapi32Util.java,Kernel32Util.java
Advapi32Util.java,Win32Exception.java
Advapi32Util.java,WinBase.java
Advapi32Util.java,WinDef.java
Advapi32Util.java,WinError.java
Advapi32Util.java,WinNT.java
Advapi32Util.java,WinReg.java
Advapi32Util.java,dispatch.c
Advapi32Util.java,IntegerType.java
Advapi32Util.java,Memory.java
Advapi32Util.java,Native.java
Advapi32Util.java,Pointer.java
Advapi32Util.java,PointerType.java
Advapi32Util.java,IntByReference.java
Advapi32Util.java,LongByReference.java
Advapi32Util.java,PointerByReference.java
Advapi32Util.java,Structure.java
Advapi32Util.java,W32APITypeMapper.java
BaseTSD.java,IntegerType.java
BaseTSD.java,Native.java
BaseTSD.java,Pointer.java
BaseTSD.java,PointerType.java
BaseTSD.java,ByReference.java
Cfgmgr32.java,Library.java
Cfgmgr32.java,Native.java
Cfgmgr32.java,Pointer.java
Cfgmgr32.java,IntByReference.java
Cfgmgr32.java,W32APIOptions.java
Cfgmgr32Util.java,Cfgmgr32.java
Cfgmgr32Util.java,Memory.java
Cfgmgr32Util.java,Native.java
Cfgmgr32Util.java,Pointer.java
Cfgmgr32Util.java,IntByReference.java
COMBindingBaseObject.java,COMException.java
COMBindingBaseObject.java,COMInvoker.java
COMBindingBaseObject.java,COMUtils.java
COMBindingBaseObject.java,Dispatch.java
COMBindingBaseObject.java,IDispatch.java
COMBindingBaseObject.java,IUnknown.java
COMBindingBaseObject.java,Unknown.java
COMBindingBaseObject.java,Guid.java
COMBindingBaseObject.java,Kernel32.java
COMBindingBaseObject.java,OaIdl.java
COMBindingBaseObject.java,Ole32.java
COMBindingBaseObject.java,OleAuto.java
COMBindingBaseObject.java,Variant.java
COMBindingBaseObject.java,WinDef.java
COMBindingBaseObject.java,WinNT.java
COMBindingBaseObject.java,WTypes.java
COMBindingBaseObject.java,IntByReference.java
COMBindingBaseObject.java,PointerByReference.java
COMBindingBaseObject.java,Structure.java
COMBindingBaseObject.java,WString.java
COMEarlyBindingObject.java,COMBindingBaseObject.java
COMEarlyBindingObject.java,IDispatch.java
COMEarlyBindingObject.java,IUnknown.java
COMEarlyBindingObject.java,Guid.java
COMEarlyBindingObject.java,OaIdl.java
COMEarlyBindingObject.java,OleAuto.java
COMEarlyBindingObject.java,Variant.java
COMEarlyBindingObject.java,WinDef.java
COMEarlyBindingObject.java,WinNT.java
COMEarlyBindingObject.java,IntByReference.java
COMEarlyBindingObject.java,PointerByReference.java
COMEarlyBindingObject.java,WString.java
COMException.java,WinNT.java
COMException.java,IntegerType.java
COMInvokeException.java,COMException.java
COMInvokeException.java,WinError.java
COMInvokeException.java,WinNT.java
COMInvokeException.java,IntegerType.java
COMInvoker.java,Function.java
COMInvoker.java,Native.java
COMInvoker.java,Pointer.java
COMInvoker.java,PointerType.java
COMLateBindingObject.java,COMBindingBaseObject.java
COMLateBindingObject.java,COMException.java
COMLateBindingObject.java,Dispatch.java
COMLateBindingObject.java,IDispatch.java
COMLateBindingObject.java,Guid.java
COMLateBindingObject.java,OleAuto.java
COMLateBindingObject.java,Variant.java
COMUtils.java,Advapi32.java
COMUtils.java,Advapi32Util.java
COMUtils.java,COMException.java
COMUtils.java,COMInvokeException.java
COMUtils.java,Kernel32Util.java
COMUtils.java,OaIdl.java
COMUtils.java,Ole32.java
COMUtils.java,OleAuto.java
COMUtils.java,W32Errors.java
COMUtils.java,WinError.java
COMUtils.java,WinNT.java
COMUtils.java,WinReg.java
COMUtils.java,WTypes.java
COMUtils.java,IntegerType.java
COMUtils.java,LastErrorException.java
COMUtils.java,Native.java
COMUtils.java,Pointer.java
COMUtils.java,IntByReference.java
ConnectionPoint.java,COMInvoker.java
ConnectionPoint.java,IConnectionPoint.java
ConnectionPoint.java,IUnknownCallback.java
ConnectionPoint.java,Unknown.java
ConnectionPoint.java,Guid.java
ConnectionPoint.java,WinDef.java
ConnectionPoint.java,WinNT.java
ConnectionPoint.java,Pointer.java
ConnectionPoint.java,PointerType.java
ConnectionPointContainer.java,COMInvoker.java
ConnectionPointContainer.java,IConnectionPointContainer.java
ConnectionPointContainer.java,Unknown.java
ConnectionPointContainer.java,Guid.java
ConnectionPointContainer.java,WinNT.java
ConnectionPointContainer.java,Pointer.java
ConnectionPointContainer.java,PointerType.java
ConnectionPointContainer.java,PointerByReference.java
Dispatch.java,COMInvoker.java
Dispatch.java,IDispatch.java
Dispatch.java,Unknown.java
Dispatch.java,Guid.java
Dispatch.java,OaIdl.java
Dispatch.java,OleAuto.java
Dispatch.java,Variant.java
Dispatch.java,WinDef.java
Dispatch.java,WinNT.java
Dispatch.java,Pointer.java
Dispatch.java,PointerType.java
Dispatch.java,IntByReference.java
Dispatch.java,PointerByReference.java
Dispatch.java,Structure.java
Dispatch.java,WString.java
DispatchListener.java,DispatchVTable.java
DispatchListener.java,IDispatch.java
DispatchListener.java,IDispatchCallback.java
DispatchListener.java,IUnknown.java
DispatchListener.java,Guid.java
DispatchListener.java,OaIdl.java
DispatchListener.java,OleAuto.java
DispatchListener.java,Variant.java
DispatchListener.java,WinDef.java
DispatchListener.java,WinNT.java
DispatchListener.java,Pointer.java
DispatchListener.java,IntByReference.java
DispatchListener.java,PointerByReference.java
DispatchListener.java,Structure.java
DispatchListener.java,WString.java
DispatchVTable.java,Guid.java
DispatchVTable.java,OaIdl.java
DispatchVTable.java,OleAuto.java
DispatchVTable.java,Variant.java
DispatchVTable.java,WinDef.java
DispatchVTable.java,WinNT.java
DispatchVTable.java,Pointer.java
DispatchVTable.java,IntByReference.java
DispatchVTable.java,PointerByReference.java
DispatchVTable.java,Structure.java
DispatchVTable.java,StdCallLibrary.java
DispatchVTable.java,WString.java
EnumMoniker.java,COMInvoker.java
EnumMoniker.java,IEnumMoniker.java
EnumMoniker.java,Unknown.java
EnumMoniker.java,WinDef.java
EnumMoniker.java,WinNT.java
EnumMoniker.java,Pointer.java
EnumMoniker.java,PointerType.java
EnumMoniker.java,PointerByReference.java
EnumVariant.java,COMInvoker.java
EnumVariant.java,COMUtils.java
EnumVariant.java,IEnumVariant.java
EnumVariant.java,Unknown.java
EnumVariant.java,Guid.java
EnumVariant.java,Variant.java
EnumVariant.java,WinNT.java
EnumVariant.java,Pointer.java
EnumVariant.java,PointerType.java
EnumVariant.java,IntByReference.java
EnumVariant.java,PointerByReference.java
IComEnumVariantIterator.java,EnumVariant.java
IComEnumVariantIterator.java,IUnknown.java
IComEnumVariantIterator.java,Unknown.java
IComEnumVariantIterator.java,IDispatch.java
IComEnumVariantIterator.java,OaIdl.java
IComEnumVariantIterator.java,Variant.java
IComEnumVariantIterator.java,PointerByReference.java
IConnectionPoint.java,IUnknown.java
IConnectionPoint.java,IUnknownCallback.java
IConnectionPoint.java,Guid.java
IConnectionPoint.java,WinDef.java
IConnectionPoint.java,WinNT.java
IConnectionPointContainer.java,IUnknown.java
IConnectionPointContainer.java,Guid.java
IConnectionPointContainer.java,WinNT.java
IConnectionPointContainer.java,PointerByReference.java
IDispatch.java,IUnknown.java
IDispatch.java,Guid.java
IDispatch.java,OaIdl.java
IDispatch.java,OleAuto.java
IDispatch.java,Variant.java
IDispatch.java,WinDef.java
IDispatch.java,WinNT.java
IDispatch.java,IntByReference.java
IDispatch.java,PointerByReference.java
IDispatch.java,WString.java
IDispatchCallback.java,IDispatch.java
IDispatchCallback.java,IUnknownCallback.java
IEnumIDList.java,Guid.java
IEnumIDList.java,WinNT.java
IEnumIDList.java,Function.java
IEnumIDList.java,Pointer.java
IEnumIDList.java,IntByReference.java
IEnumIDList.java,PointerByReference.java
IEnumMoniker.java,IUnknown.java
IEnumMoniker.java,Guid.java
IEnumMoniker.java,WinDef.java
IEnumMoniker.java,WinNT.java
IEnumMoniker.java,PointerByReference.java
IEnumVariant.java,IUnknown.java
IEnumVariant.java,Variant.java
IMoniker.java,IPersistStream.java
IMoniker.java,Pointer.java
IPersist.java,IUnknown.java
IPersist.java,Guid.java
IPersistStream.java,IPersist.java
IPersistStream.java,IStream.java
IRecordInfo.java,ITypeInfo.java
IRecordInfo.java,IUnknown.java
IRecordInfo.java,Guid.java
