,,,,,,,,,,,cJAva
eb14038b7b788c1b4743dec4451a6775c62d40fd,java,c,,,,,,,TRUE,TRUE,TRUE
52eed7b510fac9b97d826be55cba763c45ea9293,c,assembly,java,,,,,,TRUE,TRUE,TRUE
a8de00b8e5a2126494b753b513e1e14d097ff530,c,assembly,,,,,,,TRUE,FALSE,FALSE
05a754bc927a936367c5245c7fbccca754af871a,c,assembly,java,,,,,,TRUE,TRUE,TRUE
cadeba6cb53414a1253582f1719c286665de7b6c,c,assembly,,,,,,,TRUE,FALSE,FALSE
c6dddbd02bad9654ed58cdb0feb360934d105dec,c,assembly,,,,,,,TRUE,FALSE,FALSE
0a1ab12a8d15caa894116a82249551f23ef65612,c,assembly,,,,,,,TRUE,FALSE,FALSE
bff4e3b0fd8c546f2f0880bc790bd08fe8fdff63,c,html,java,,,,,,TRUE,TRUE,TRUE
daf616be2296059709bcc3de88354ca7d38ebeb4,c,java,html,,,,,,TRUE,TRUE,TRUE
f41c87d7c92ba0e8dcb48c88753cbc4eddc0db16,c,java,,,,,,,TRUE,TRUE,TRUE
a9cb49704519807a3cf5be62becb9fe89214caab,c,html,java,,,,,,TRUE,TRUE,TRUE
f6eabe7b58ea83e774daf137e0a88eb5e262c2d2,c,assembly,,,,,,,TRUE,FALSE,FALSE
de2de1fdc725ee6b9bab264519d73b2c3650d2f6,c,assembly,,,,,,,TRUE,FALSE,FALSE
e5958a2a159cd87a8168c801f569f5bcc7511c25,c,java,html,,,,,,TRUE,TRUE,TRUE
e658538926e66d0441c32b2ebc2e740fce9e0945,c,java,html,,,,,,TRUE,TRUE,TRUE
ca4f14b55502d2e06f4b0fe444f80ffd51ab08fb,html,java,,,,,,,FALSE,TRUE,FALSE
d42863603efa1f47b91600b4a06fd886ff40dd83,java,html,,,,,,,FALSE,TRUE,FALSE
f5f9afefb03ccc384459032955d38f97d70bbfeb,html,java,,,,,,,FALSE,TRUE,FALSE
dc45e38f11a1d8cd4a5e3bd191ee8d4bd628b5c1,java,html,,,,,,,FALSE,TRUE,FALSE
816317b8a6cbf4e95151ed0ab0bc989a8e4aee7e,java,html,,,,,,,FALSE,TRUE,FALSE
34ab92f0fbca42d461186d5e18c2d2796f3237e3,c,java,,,,,,,TRUE,TRUE,TRUE
1cb727a62a1fd7849f4076bca2cec5db65d52a9e,c,java,,,,,,,TRUE,TRUE,TRUE
7ee4681c10f01f9617c5a3b8ff341f1f7e69f846,c,html,java,,,,,,TRUE,TRUE,TRUE
e047c009a04c48acb4e361786bd1909d4c291f27,java,c,,,,,,,TRUE,TRUE,TRUE
fe1f4a3bac519e9903f7b2e448c2b0c259897023,java,html,,,,,,,FALSE,TRUE,FALSE
657a077cdb5e3fe7c61be013d1a0c600bbebb30f,java,html,,,,,,,FALSE,TRUE,FALSE
