,,,,,,,,,,,cJava
38ff07c8d63362d70a32938edb1bae9dea218f5b,java,groovy,,,,,,,FALSE,TRUE,FALSE
4067a5b660ca24c2ef34732a2a43f5d0b8e8eb05,c++,java,,,,,,,TRUE,TRUE,TRUE
482462746726f2e11be519c1232ac0e5ca0a4463,java,c++,,,,,,,TRUE,TRUE,TRUE
0ac72f5a5018b1a551121b24c7d33dace6b9c5d2,groovy,java,,,,,,,FALSE,TRUE,FALSE
b862e14119e491e529faaafb5558ee147bb7a508,java,c++,,,,,,,TRUE,TRUE,TRUE
53024156dd29d7b7e93f4334145182d5a9fceded,groovy,java,,,,,,,FALSE,TRUE,FALSE
88bca4322b11cb20d3d07380dbca2f64d939e13e,c++,java,,,,,,,TRUE,TRUE,TRUE
b1fc23213ee8cb2ee86dfb6e97fd34572c7b784c,java,c++,,,,,,,TRUE,TRUE,TRUE
5012f2dc5bf0a28a47cf9b01bd1a63c1ebdc232f,java,c++,,,,,,,TRUE,TRUE,TRUE
0e9746b7b132058651155b33f219c7789997985b,java,c++,,,,,,,TRUE,TRUE,TRUE
1744cf2b54cc7183ff83a3a2eab3a92a8d95ff55,java,c++,,,,,,,TRUE,TRUE,TRUE
05b8e50d7791fe6a7663642821f1e12a2a12d84c,java,c++,,,,,,,TRUE,TRUE,TRUE
37e58bbef60b18389074d8ef8a8c470e47f3d7ee,java,c++,,,,,,,TRUE,TRUE,TRUE
67cf2fcd35de497bb4dd7a2cc9bf2a02f0b06349,java,c++,,,,,,,TRUE,TRUE,TRUE
32f34531077ca632bb59829907b9e30725101c9b,java,c++,,,,,,,TRUE,TRUE,TRUE
72171a4df6799a188858faaba5cb08be9ba7dc6e,c++,java,,,,,,,TRUE,TRUE,TRUE
bb70f6a0de9e2a37016975802ab13d6ced6717bc,java,c++,,,,,,,TRUE,TRUE,TRUE
652ff53bd48ed61389337a42d8e50cdb7ace0fec,java,c++,,,,,,,TRUE,TRUE,TRUE
2d089e18deae231149737cad6ce00f1e137a7199,java,c++,,,,,,,TRUE,TRUE,TRUE
f313a83e04cf0b337f195bd9d7b89bd5365686e0,c++,java,,,,,,,TRUE,TRUE,TRUE
7dc06b9e323ba7f227709b5941324f9c3a46fe4f,java,c++,,,,,,,TRUE,TRUE,TRUE
1ecc0481f90d32b89b3b051cad70efe07468acd0,java,c++,,,,,,,TRUE,TRUE,TRUE
e33d066caa6fff22e17e807abcdff9bc4f746bb0,java,c++,,,,,,,TRUE,TRUE,TRUE
c8c99655ab472b1b56da89245db962dc03b285fc,c++,java,,,,,,,TRUE,TRUE,TRUE
66537ee0121bdd14737191d14927da223f0809ee,java,c++,,,,,,,TRUE,TRUE,TRUE
d5de6e4adf5bf6016c4f397c4d12e09a9ab1a4ab,c++,groovy,,,,,,,TRUE,FALSE,FALSE
24c6715aab22cc75d634402cf93883e40da77772,java,groovy,,,,,,,FALSE,TRUE,FALSE
72ddbd969001397d5747afd063eccad246af32a8,groovy,java,c++,,,,,,TRUE,TRUE,TRUE
883eeb452dc0aa01f74a426e8084e2af66daaad4,java,c++,,,,,,,TRUE,TRUE,TRUE
bfab4d650d92fc8075a19fc73489641fcf91946a,c++,java,,,,,,,TRUE,TRUE,TRUE
3e1a68612d948e198f5edeabdebd59f496710c9a,c++,java,,,,,,,TRUE,TRUE,TRUE
f5b4518ebe23c76f931ddb157c44503c2f6b7dee,c++,java,,,,,,,TRUE,TRUE,TRUE
dd3f86b4b9b1b10245f4fa3bc1cec4747e6dde4b,c++,java,,,,,,,TRUE,TRUE,TRUE
4bff0a15ae03c8a3e1ae95590cc8c4240837bff6,java,c++,,,,,,,TRUE,TRUE,TRUE
4757cdbe3c9e06f243a8cb07086ced5537d69af2,java,c++,,,,,,,TRUE,TRUE,TRUE
254bb0f165dc3efd9bf103ddb3e85d083c86a154,c++,java,,,,,,,TRUE,TRUE,TRUE
0327d94171e05a04581b59fd9c1ca9ca7e92b136,yaml,groovy,,,,,,,FALSE,FALSE,FALSE
62190cd439f163c7a53604b01836a576ef88013a,groovy,java,,,,,,,FALSE,TRUE,FALSE
c58d52620b66bfee6298d0ca58540fcdaa469c8c,groovy,java,,,,,,,FALSE,TRUE,FALSE
7dd8d0b433cf8212538aaaf8726f5222abf035dd,java,c++,,,,,,,TRUE,TRUE,TRUE
